epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8611.76,1.21152,0.86208,1.42298,0.19564,0.14857,0.14358,0.07729,2.14551,2.25292,2.52299,0.0006725,0.0006725,0.0006725
58,8757.78,1.22147,0.88904,1.42058,0.19233,0.14772,0.14297,0.07785,2.23998,2.05402,2.66091,0.000662188,0.000662188,0.000662188
59,8904.28,1.23722,0.89105,1.42658,0.19148,0.15062,0.14319,0.07901,2.20229,2.08722,2.60026,0.000651875,0.000651875,0.000651875
60,9050.8,1.22539,0.88059,1.42618,0.19904,0.14974,0.14177,0.07588,2.25941,2.01198,2.70729,0.000641562,0.000641562,0.000641562
61,9196.86,1.19048,0.85532,1.39935,0.19478,0.15107,0.14464,0.07876,2.1555,2.01543,2.59447,0.00063125,0.00063125,0.00063125
62,9342.72,1.1864,0.85773,1.39441,0.19746,0.15419,0.1537,0.08215,2.11216,1.985,2.54368,0.000620938,0.000620938,0.000620938
63,9490.81,1.17521,0.84324,1.39863,0.19425,0.15235,0.14501,0.0794,2.15885,1.93992,2.60369,0.000610625,0.000610625,0.000610625
64,9642,1.18873,0.84755,1.39751,0.19341,0.1564,0.14526,0.08038,2.13027,1.92789,2.61121,0.000600313,0.000600313,0.000600313
65,9785.88,1.14766,0.82414,1.37446,0.20046,0.15384,0.15082,0.0849,2.12545,1.88216,2.55001,0.00059,0.00059,0.00059
66,9991.65,1.15577,0.83094,1.37343,0.19558,0.15287,0.14528,0.08028,2.14931,1.88483,2.61627,0.000579688,0.000579688,0.000579688
67,10206.5,1.16219,0.81825,1.36577,0.19705,0.15488,0.15103,0.08412,2.05272,1.90548,2.47447,0.000569375,0.000569375,0.000569375
68,10358.8,1.13349,0.79037,1.35346,0.19902,0.1525,0.14846,0.08228,2.11668,2.00952,2.53553,0.000559062,0.000559062,0.000559062
69,10515.9,1.13654,0.80729,1.36852,0.19818,0.15533,0.14728,0.08129,2.20592,1.95639,2.68143,0.00054875,0.00054875,0.00054875
70,10715.9,1.13181,0.79793,1.36119,0.19606,0.1521,0.14547,0.08156,2.18684,1.83298,2.6475,0.000538438,0.000538438,0.000538438
71,10860.6,1.14042,0.80008,1.35954,0.19874,0.1536,0.14734,0.08369,2.06761,1.9954,2.54053,0.000528125,0.000528125,0.000528125
72,11009.1,1.12789,0.79646,1.35487,0.20064,0.15386,0.1499,0.08629,2.13021,2.0102,2.63088,0.000517813,0.000517813,0.000517813
73,11155.3,1.11302,0.77564,1.34467,0.19819,0.15498,0.14985,0.08394,2.03946,1.95106,2.52686,0.0005075,0.0005075,0.0005075
74,11299.7,1.10065,0.78372,1.34153,0.19556,0.15831,0.15514,0.08613,2.00275,1.82767,2.47974,0.000497188,0.000497188,0.000497188
