epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,9658.82,0.88453,0.5826,1.1771,0.78938,0.72484,0.73977,0.46529,1.16494,0.68951,1.31804,0.000382115,0.000382115,0.000382115
76,9784.4,0.87886,0.5815,1.17925,0.74203,0.73548,0.72711,0.45587,1.1788,0.69333,1.32933,0.000367967,0.000367967,0.000367967
77,9910.1,0.87398,0.56708,1.17634,0.82521,0.68717,0.74608,0.46965,1.16677,0.68496,1.33202,0.00035382,0.00035382,0.00035382
78,10036.5,0.86393,0.54651,1.1581,0.81688,0.70814,0.75332,0.46554,1.18925,0.70462,1.34919,0.000339673,0.000339673,0.000339673
79,10162.5,0.8745,0.54979,1.16262,0.78787,0.67471,0.73214,0.46819,1.15247,0.6991,1.3208,0.000325526,0.000325526,0.000325526
80,10288.4,0.84839,0.54108,1.14892,0.81764,0.71458,0.748,0.46501,1.17895,0.68237,1.3362,0.000311379,0.000311379,0.000311379
81,10415.3,0.8523,0.54705,1.15682,0.78466,0.70849,0.73491,0.47033,1.15211,0.67409,1.31634,0.000297232,0.000297232,0.000297232
82,10542,0.85392,0.53031,1.15521,0.86076,0.69489,0.75155,0.47183,1.15025,0.68186,1.3187,0.000283085,0.000283085,0.000283085
83,10668.6,0.84335,0.53451,1.15256,0.75838,0.74041,0.73917,0.46426,1.15726,0.68029,1.32655,0.000268938,0.000268938,0.000268938
84,10794.6,0.84789,0.53911,1.15203,0.75047,0.73958,0.73107,0.4588,1.16237,0.68822,1.33628,0.000254791,0.000254791,0.000254791
85,10921.7,0.83105,0.52976,1.14208,0.82026,0.72168,0.73963,0.4652,1.148,0.67936,1.33212,0.000240644,0.000240644,0.000240644
86,11048.7,0.81872,0.51357,1.14056,0.79092,0.73847,0.74288,0.46608,1.15185,0.67906,1.31966,0.000226497,0.000226497,0.000226497
87,11174.4,0.82223,0.511,1.13783,0.80972,0.72288,0.75872,0.47693,1.15125,0.67093,1.32802,0.000212349,0.000212349,0.000212349
88,11300.6,0.80848,0.50719,1.13044,0.82832,0.71805,0.7514,0.47056,1.15197,0.67012,1.3299,0.000198202,0.000198202,0.000198202
89,11426.5,0.8053,0.50161,1.12552,0.80389,0.72895,0.75055,0.46693,1.13797,0.69445,1.33219,0.000184055,0.000184055,0.000184055
90,11553.1,0.79799,0.49533,1.12129,0.83259,0.70167,0.74399,0.47645,1.14831,0.67895,1.33883,0.000169908,0.000169908,0.000169908
