epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1115.2,0.78016,0.43123,1.07158,0.99878,1,0.995,0.80348,0.873,0.38423,1.0201,0.000378023,0.000378023,0.000378023
140,1123.34,0.73959,0.41862,1.06111,0.99875,1,0.995,0.82458,0.76935,0.35904,0.98238,0.000367361,0.000367361,0.000367361
141,1131.46,0.74191,0.41528,1.04494,0.9992,1,0.995,0.83304,0.70835,0.3476,0.95885,0.000356815,0.000356815,0.000356815
142,1140.41,0.76815,0.43137,1.04626,0.99914,1,0.995,0.83454,0.70582,0.34649,0.95499,0.000346389,0.000346389,0.000346389
143,1149.33,0.68997,0.40051,1.01197,0.99928,1,0.995,0.8274,0.74055,0.35824,0.96411,0.000336086,0.000336086,0.000336086
144,1159.37,0.72536,0.43521,1.04811,0.99932,1,0.995,0.82749,0.78582,0.37034,0.97998,0.000325907,0.000325907,0.000325907
145,1167.53,0.72335,0.41796,1.02688,0.99932,1,0.995,0.8259,0.78937,0.37132,0.98321,0.000315855,0.000315855,0.000315855
146,1175.66,0.75491,0.42166,1.03274,0.99929,1,0.995,0.81925,0.7855,0.37035,0.9823,0.000305933,0.000305933,0.000305933
147,1183.77,0.70295,0.40113,1.01288,0.99935,1,0.995,0.8228,0.74881,0.35648,0.97435,0.000296144,0.000296144,0.000296144
148,1191.91,0.72164,0.42326,1.04387,0.9992,1,0.995,0.82418,0.73922,0.35302,0.97345,0.000286489,0.000286489,0.000286489
149,1200.11,0.69353,0.39589,1.00333,0.99904,1,0.995,0.82707,0.71642,0.34624,0.96657,0.000276971,0.000276971,0.000276971
150,1208.19,0.70054,0.40657,1.04957,0.99886,1,0.995,0.81576,0.72835,0.34748,0.96926,0.000267592,0.000267592,0.000267592
151,1216.29,0.71448,0.41588,1.04214,0.99842,1,0.995,0.80099,0.80367,0.36849,0.99338,0.000258355,0.000258355,0.000258355
152,1224.43,0.7263,0.40174,1.00813,0.99845,1,0.995,0.80779,0.79479,0.36574,0.98733,0.000249262,0.000249262,0.000249262
153,1232.55,0.70229,0.3899,1.02438,0.99861,1,0.995,0.83626,0.67973,0.34258,0.94194,0.000240316,0.000240316,0.000240316
154,1241.48,0.7155,0.39872,1.01844,0.99902,1,0.995,0.83872,0.67268,0.3435,0.94051,0.000231517,0.000231517,0.000231517
155,1250.4,0.673,0.38522,0.99944,0.99926,1,0.995,0.80475,0.7949,0.36891,0.9881,0.00022287,0.00022287,0.00022287
156,1258.48,0.70386,0.41104,1.02107,0.99933,1,0.995,0.78505,0.89556,0.38581,1.03292,0.000214375,0.000214375,0.000214375
157,1266.64,0.7377,0.38992,1.00892,0.99942,1,0.995,0.79204,0.83821,0.37315,1.0085,0.000206034,0.000206034,0.000206034
158,1274.7,0.65143,0.37605,0.9999,0.99941,1,0.995,0.80778,0.77864,0.36224,0.98523,0.000197851,0.000197851,0.000197851
159,1282.87,0.67367,0.39808,1.02994,0.99937,1,0.995,0.83799,0.68973,0.34345,0.94976,0.000189827,0.000189827,0.000189827
160,1290.98,0.69599,0.40117,1.02125,0.99938,1,0.995,0.83284,0.70059,0.34214,0.9527,0.000181963,0.000181963,0.000181963
161,1299.12,0.6845,0.3758,1.01742,0.99939,1,0.995,0.81427,0.78892,0.35708,0.98675,0.000174262,0.000174262,0.000174262
162,1307.27,0.72364,0.40445,1.05827,0.99938,1,0.995,0.80381,0.83072,0.36154,1.00595,0.000166726,0.000166726,0.000166726
